Date,Open,High,Low,Close,Volume,Market Cap
08-11-2018,0.53664,0.539282,0.491286,0.493508,686221000,19841740203.8054
07-11-2018,0.549319,0.549319,0.524965,0.535707,631230000,21538372466.8292
06-11-2018,0.497102,0.560547,0.497102,0.54908,1333160000,21639288293.7
05-11-2018,0.461444,0.497412,0.460769,0.497412,556519000,19998705113.4
04-11-2018,0.455225,0.470722,0.449935,0.462691,429629000,18602729462.9
03-11-2018,0.458899,0.459135,0.454453,0.455667,275311000,18320325932.8
02-11-2018,0.456506,0.461451,0.455729,0.458685,401300000,18441666174
01-11-2018,0.44862,0.456303,0.446069,0.455722,346501000,18322537236.1
31-10-2018,0.445268,0.450401,0.43876,0.448382,367008000,18027428763.6
30-10-2018,0.441968,0.448306,0.44088,0.444759,245858000,17881764186.4
29-10-2018,0.461598,0.462128,0.437057,0.441514,341648000,17751297293.6
28-10-2018,0.457169,0.463931,0.455456,0.462406,280005000,18591270891.4
27-10-2018,0.459176,0.460376,0.455284,0.456348,211006000,18347705887.8
26-10-2018,0.456961,0.460288,0.453618,0.459288,235514000,18465910098.9
25-10-2018,0.45578,0.462766,0.452681,0.458052,273380000,18416216083.6
24-10-2018,0.461505,0.46707,0.454497,0.457237,295115000,18288398358.8
23-10-2018,0.45307,0.471596,0.439644,0.462058,445238000,18481226954.2
22-10-2018,0.456089,0.458188,0.450583,0.453109,249302000,18123288124
21-10-2018,0.458863,0.463629,0.455411,0.456694,262867000,18266679643.3
20-10-2018,0.453936,0.461899,0.45107,0.459151,277061000,18364953831
19-10-2018,0.457344,0.460625,0.450369,0.454178,303401000,18166045595.2
18-10-2018,0.467653,0.474622,0.447294,0.457725,476876000,18307917204.4
17-10-2018,0.469701,0.478521,0.460343,0.468197,526538000,18726772431.8
16-10-2018,0.448066,0.47099,0.445319,0.470253,605102000,18809007568.1
15-10-2018,0.401654,0.472133,0.396701,0.447316,1041470000,17891581827.9
14-10-2018,0.418573,0.424992,0.40146,0.403286,289195000,16130485985.4
13-10-2018,0.416294,0.425624,0.414515,0.418878,373875000,16754129100.9
12-10-2018,0.379313,0.439544,0.378914,0.419115,820154000,16763608540.3
11-10-2018,0.461497,0.461497,0.381614,0.38313,791202000,15324293666.5
10-10-2018,0.479151,0.479151,0.459042,0.462387,412207000,18494386175.9
09-10-2018,0.490604,0.491133,0.471116,0.479857,416867000,19163286272.5
08-10-2018,0.484018,0.496593,0.479386,0.489751,540832000,19558407223.9
07-10-2018,0.490268,0.490268,0.469887,0.482039,548645000,19250425338.2
06-10-2018,0.519354,0.520882,0.470532,0.488082,672167000,19491755023.8
05-10-2018,0.52753,0.530432,0.51032,0.519026,589636000,20727516366
04-10-2018,0.528892,0.547161,0.52625,0.526606,621615000,21030226777.6
03-10-2018,0.51722,0.536097,0.512269,0.528162,789229000,21092366276.3
02-10-2018,0.577145,0.577145,0.518287,0.520837,743705000,20799839394.4
01-10-2018,0.583511,0.602337,0.537349,0.576461,1412800000,23021206667.6
30-09-2018,0.568045,0.618702,0.564195,0.581572,1329720000,23187803288.1
29-09-2018,0.539412,0.587431,0.529954,0.571228,1034370000,22775378623.2
28-09-2018,0.54303,0.548805,0.522197,0.539112,718255000,21494884565
27-09-2018,0.516478,0.550922,0.513967,0.541381,824083000,21585351653.6
26-09-2018,0.520288,0.566711,0.491498,0.516308,1821610000,20585668395.4
