Date,Open,High,Low,Close,Volume,Market Cap
21-11-2022,0.3619459247643157,0.3671962861267111,0.34779673834077,0.36479870432744244,2153323835.16,18348913563.43
20-11-2022,0.38469684430726897,0.39358512337779133,0.3610415907532246,0.36194479243671274,1156162575.75,18205365403.91
19-11-2022,0.38305584466861886,0.3874438567325753,0.3769062815273139,0.38469911472053414,571403780,19349879043.42
18-11-2022,0.38254342525926,0.3863759524083067,0.3760232189221848,0.38306328099356407,945178986.62,19267598675.36
17-11-2022,0.37629035860541404,0.3847864444692947,0.37040616080840844,0.3825443044075397,1326199203.85,19216121054.53
16-11-2022,0.38853243110375557,0.3902607077352053,0.36485640324919927,0.37630116366252736,1315104592.47,18902513069.95
15-11-2022,0.376340356559597,0.3959374428980575,0.3684724664345325,0.38852111502982906,1966568663.98,19516350636.08
14-11-2022,0.34032993971736086,0.3778986432722053,0.32395901593831067,0.37640554529907616,2400878272.47,18907756410.76
13-11-2022,0.3636717224952791,0.3687590526138546,0.33533737393941165,0.34029643078067384,1064115310.68,17088087647.8
12-11-2022,0.3841801787525726,0.3841801787525726,0.3614149199282457,0.363676947372109,931936263.39,18262147322.32
11-11-2022,0.395649427817263,0.3976830408904291,0.36929163886734145,0.3841587752966175,1720205430.34,19290648473.39
10-11-2022,0.3331528509090264,0.4004509630679518,0.331218604364016,0.3957051034720227,3104223968.29,19870450816.36
09-11-2022,0.40625314574423516,0.4098580705287254,0.3258146226155397,0.3331805200705604,3642933610,16730760050.71
08-11-2022,0.46582539423584096,0.4666292224665953,0.36206024158326855,0.4062415543733679,3984776862.8,20399541868.2
07-11-2022,0.47068358195579013,0.4791703754922626,0.46216025432710706,0.46585652528125315,1592938582.66,23393125567.14
06-11-2022,0.4933250470528292,0.4942963835131364,0.47047933386022045,0.4706698962989093,940815147.6,23634830440.87
05-11-2022,0.504432637386259,0.5071026347301851,0.4921044498309257,0.4933295516113518,1216193223.11,24772691849.4
04-11-2022,0.45514137270414795,0.5051113947829154,0.4539974519175658,0.5044042923582708,2774226120.34,25328813287.78
03-11-2022,0.45088473610049556,0.45936247334143526,0.45009822554338674,0.45513537592621595,1086924484.89,22795640615.73
02-11-2022,0.46452545891964925,0.4652999809798745,0.4478241888409144,0.4508741931651227,1381853436.36,22582217542.17
01-11-2022,0.4658210157219618,0.4664012259998295,0.45527600853845573,0.4645770952981529,1273429762.62,23268532974.76
31-10-2022,0.45840073177176166,0.466113503182699,0.4495232546959524,0.4659147317274834,1462007946.75,23335529039.95
30-10-2022,0.4704073826389083,0.4725095780155296,0.4556422988958055,0.45845500406471,964813817.23,22961905542.67
29-10-2022,0.47398410103636784,0.48166555105975145,0.4676969656682356,0.4704161350294238,1404785407.37,23560983657.12
28-10-2022,0.4624273737218989,0.4746740409773578,0.45778495994014534,0.47398113295897726,1201992237.11,23739538029.94
27-10-2022,0.4693945933306549,0.4804563577728229,0.46097681060592216,0.4624065186214169,1694861068.57,23159818758.13
26-10-2022,0.4614663539018822,0.4702507607472086,0.458091601485819,0.469375767626823,1440473975.97,23508876432.16
25-10-2022,0.4538067426186708,0.4710137393787731,0.4453836684426182,0.4615444426454695,1605966217.71,23025074861.12
24-10-2022,0.46903710786074765,0.4709824465428053,0.44969126801150333,0.4538205498499369,1293537736.9,22639752899.89
23-10-2022,0.4654899482118339,0.47100552681490715,0.4534377068669305,0.4690333861144018,950974304.98,23398675901.61
22-10-2022,0.4610865814464122,0.4700602540120682,0.4572871982938386,0.46547043941292826,884856881.71,23220931123.54
21-10-2022,0.4480039121926002,0.46109802751532664,0.4378061499347366,0.46109802751532664,1644912254.53,23002804542.51
20-10-2022,0.45122286343540363,0.463785759730351,0.4344262790913582,0.4480843481172539,1712992942.67,22353590913.94
19-10-2022,0.4659877403095364,0.4663913413529576,0.45007974077488705,0.4512269890295255,1434466929.2,22510367890.5
18-10-2022,0.47991776696601784,0.48335387847499944,0.4598440155952484,0.46597736717775334,1380317427.21,23246220236.91
17-10-2022,0.47701107747029486,0.4812622426682618,0.46533296353295084,0.47991791496843017,1476868337.83,23941672563.55
16-10-2022,0.48152971277470064,0.4871025020990281,0.47181300371931795,0.47700988806913097,1028960254.99,23833409894.59
15-10-2022,0.48895674583061627,0.4896702514919086,0.47998035977866915,0.481507121861036,842401177.28,24058110511.98
14-10-2022,0.480806177967671,0.5095366702378389,0.4793042928907864,0.48896581747897755,2184144921.47,24430778153.45
13-10-2022,0.48835270831256405,0.4890964908393711,0.4450237918128144,0.48081167129495983,2840221577.59,24023362891.83
12-10-2022,0.4854125557830225,0.4947351083983053,0.48375551280353035,0.48837031216713084,1375026359.76,24401024216.38
11-10-2022,0.4966607908266544,0.5008912379074031,0.48090979451392574,0.4853974074233573,2303743072.79,24252485456.26
10-10-2022,0.5340287496779325,0.5373193981073017,0.49701382083137846,0.49701382083137846,2359086772.41,24780401211.86
09-10-2022,0.5171489683380924,0.5414160898974388,0.5081666218650646,0.5340606258952033,1789206998.45,26627502146.73
08-10-2022,0.5182248462641567,0.527901803570396,0.5143825722387121,0.5171133562454419,1771062053.05,25782535419.92
07-10-2022,0.49327699624358534,0.5216459303981382,0.4842049896371241,0.5182782015299887,2627481992.49,25840612946.72
06-10-2022,0.4896992174546192,0.504087245389287,0.4893721949482822,0.4931839594798809,1913140570.58,24589449779.73
05-10-2022,0.4801206582383841,0.4993310169436711,0.4734045268453236,0.48968340043631514,2480530356.98,24414916891.65
04-10-2022,0.4628784174077835,0.4845977531393112,0.4529673633175419,0.4801738452389456,2192220218.69,23940784013.93
03-10-2022,0.44886773094314836,0.467568174625871,0.43954835982328044,0.4628787353672765,1852548565.11,23097957383.14
02-10-2022,0.4751191539681062,0.4774340026661744,0.4481576350373722,0.448850010853232,1524148632.8,22397914680.36
01-10-2022,0.47982184207167805,0.48351742530489134,0.4696071746771513,0.47510984860461314,1544057825.33,23708298085.18
30-09-2022,0.4854345615040766,0.49598748382552815,0.47221810040591994,0.4797744499602349,3780354930.69,23941064801.58
29-09-2022,0.4505935234645277,0.5029747985202004,0.4285282641302748,0.48541703534324115,3292742359.41,24222633572.73
28-09-2022,0.4486359047025912,0.45437918968438273,0.419562591046898,0.45067154526057895,2670489294.25,22488810461.26
27-09-2022,0.46776409750448517,0.4852276719509466,0.4403100423821837,0.448776189659822,2838537510.81,22394230953.61
26-09-2022,0.49268135831878407,0.49986060637877766,0.45983659905050445,0.467677971009661,2916387563.9,23337442440.18
25-09-2022,0.4887321183790524,0.5183142425837013,0.47873372162599576,0.49262733584003726,3422191940.96,24556855663.58
24-09-2022,0.5072002026852322,0.5150153089425221,0.47401873530554295,0.4887162325623245,3512953969.13,24361892063.94
23-09-2022,0.48513688415784106,0.5522827660781888,0.458918042885608,0.5071712178653486,7798770581.7,25281849965.96
22-09-2022,0.3965384529154803,0.49122892861687484,0.3947853536615705,0.48510062839407964,4916275588.32,24181658724.79
21-09-2022,0.4151655586693515,0.42832529978831396,0.3880087713898334,0.3968277678933184,3401100359.49,19781367192.79
20-09-2022,0.38695800036587624,0.42152111614127385,0.3724898455633739,0.415182845618006,3912067531.69,20696344827.17
